document,label
유앤아이잉글리시 1대1 원어민 영어회화,12
명스피치아카데미학원,12
인지어스 수원지사,12
충북특수용접학원,12
대한상공회의소 부산인력개발원,12
가경컴퓨터학원,12
명지커피바리스타학원,12
달성간호학원,12
베스트인,12
안성금오요양보호사교육원,12
경남산업기술진흥법인,12
1:1 원어민 영어회화,12
대한요양보호사교육원,12
김현스피치아카데미,12
월드용접기술학원,12
롯데시네마 에비뉴엘,8
씨네큐브광화문,8
에무시네마,8
CGV 명동,8
CGV 피카디리1958,8
CGV 명동역,8
서울아트시네마,8
대한극장,8
청춘극장,8
허리우드극장,8
코리아극장,8
오픈시네마,8
명보아트시네마,8
메가박스 동대문,8
충무로영상센터 오재미동,8
CGV 대학로,8
서울노인복지센터디지털상영관,8
CGV 동대문,8
바다극장,8
오드 프레젠트,8
아트하우스 모모,8
메가박스 신촌,8
브로드웨이아트홀 2관,8
필름포럼,8
CGV 용산아이파크몰,8
CGV 신촌아트레온,8
2022 FRIEDSCREEN,8
백두대간,8
청계극장 매점,8
하이퍼텍나다(폐관),8
필레마,8
생존,8
롯데시네마 용산,8
라이카시네마,8
CGV 왕십리,8
CGV 연남,8
CGV 성신여대입구,8
롯데시네마 홍대입구,8
메가박스 홍대,8
CGV 홍대,8
메가박스 성수점,8
CGV 여의도,8
인디스페이스,8
롯데시네마 청량리점,8
아리랑시네센터,8
메가박스 코엑스,8
CGV 압구정,8
CGV 영등포,8
롯데시네마 합정점,8
CGV 청담씨네시티,8
독립영화전용관 아리랑시네미디어센터,8
메가박스 상암월드컵경기장점,8
롯데시네마 월드타워점,8
롯데시네마 건대입구점,8
KT&G 상상마당 시네마,8
롯데시네마 브로드웨이,8
메가박스 센트럴,8
롯데시네마 영등포,8
CGV 강남,8
CGV 불광,8
메가박스 상암,8
살곶이자동차극장,8
메가박스 더 부티크 목동현대백화점,8
메가박스 강남,8
메가박스 이수점,8
CGV 미아점,8
메가박스 목동지점,8
CGV 건대입구,8
이봄 씨어터,8
메가박스 군자,8
CGV 강변,8
롯데시네마 은평,8
롯데시네마 신림,8
서울영화센터(2024년예정),8
메가박스 상봉점,8
롯데시네마 서울대입구,8
롯데시네마 신대방,8
롯데시네마 도곡,8
씨네Q 신도림점,8
롯데시네마 신도림,8
모노플렉스,8
롯데시네마 중랑,8
CGV 등촌점,8
성미산마을극장,8
메가박스 고양스타필드,8
메가박스 씨티,8
CGV 상봉,8
CGV 수유,8
CGV 구로,8
쇼타임즈,8
넥스트비쥬얼스튜디오 시사실,8
메가박스 아트나인,8
롯데시네마 노원,8
롯데시네마 수유,8
롯데시네마 김포공항,8
롯데시네마 가양,8
KU씨네마테크,8
메가박스 마곡,8
CGV 천호,8
롯데시네마 가산디지털,8
세종문화회관 M씨어터,8
국립정동극장 세실,8
CKL스테이지,8
세종문화회관,8
국립정동극장,8
세종문화회관 대극장,8
샤롯데홀,8
국립극단 명동예술극장,8
세종문화회관 S씨어터,8
서울코미디클럽,8
명동난타극장,8
명보아트홀,8
두산아트센터,8
홍익대학교 대학로 아트센터,8
세종문화회관 체임버홀,8
우미관극장,8
경향아트힐,8
대학로 JTN 아트홀,8
국립극장,8
홍익대학교대학로아트센터 대극장,8
충무아트센터,8
엠스테이지,8
서울돈화문국악당,8
명보아트홀 페인터즈 전용관,8
팡타개라지,8
농협NH아트홀,8
유니플렉스,8
인사아트홀,8
서울남산국악당,8
푸르지오 아트홀,8
뮤지컬점프,8
정극장 행오버,8
북촌창우극장,8
국립극장 해오름극장,8
남인사마당,8
예스24스테이지,8
드라마센터,8
북아현아트홀,8
호암아트홀,8
드림아트센터,8
모두의 극장,8
삼일로창고극장,8
국립극단 백성희장민호극장,8
경향아트힐 페인터즈 전용관,8
북촌나래홀,8
KT&G상상유니브 서울아틀리에,8
동자아트홀,8
JTN 아트홀 1관,8
을지공간,8
대학로티오엠,8
달밤엔씨어터,8
라온아트홀 / 연극 한뼘사이,8
JTN 아트홀 4관,8
허리우드 스카이쇼 공연장,8
명동의낭만명랑시장,8
링크아트센터,8
정동이벤트홀,8
플러스씨어터,8
신세계 메사홀,8
콘텐츠박스,8
바탕골소극장,8
서연아트홀,8
아트포레스트,8
댕로홀,8
틴틴홀,8
후암씨어터,8
해피시어터/연극라면,8
미소공연장,8
정동문화예술회관,8
한국불교역사 문화기념관불교전통문화공연장,8
세우아트센터,8
클래식전용콘서트홀,8
공간서로,8
경복궁아트홀,8
펑키하우스,8
업스테이지,8
룸씨어터,8
국립극단 소극장 판,8
한성아트홀 제1관,8
하마씨어터,8
충무아트센터 대극장,8
아트라운지멋진하늘,8
뮤지컬셰프 가온홀,8
JTN 아트홀 3관,8
JTN 아트홀 2관,8
한경arte필하모닉,8
케이에스앤엔터테인먼트,8
컬쳐씨어터,8
시온아트홀,8
도토리씨어터,8
아크홀,8
쇼비보이,8
해치홀,8
파랑씨어터,8
구세군아트홀,8
아르코예술극장,8
졸탄극장,8
스튜디오 백,8
정동 도깨비스톰 전용관,8
에이치씨어터,8
웨스틴 조선 서울,7
롯데호텔 서울,7
더 플라자 호텔 서울,7
포시즌스호텔서울,7
정동전망대,7
피맛골,7
덕수궁대한문,7
이순신장군동상,7
덕수궁돌담길,7
코리아나 호텔,7
세실극장옥상전망대,7
환구단,7
서울빛초롱축제,7
알로프트 서울 명동,7
롯데호텔 서울 이그제큐티브 타워,7
프레지던트 호텔,7
호텔미드시티명동,7
경복궁,7
뉴서울호텔,7
UH Suite Central Seoul,7
요기는 무인호텔,7
돈의문박물관마을,7
UH Suite Seoul Square,7
크라운파크 호텔 서울,7
청진공원,7
쌈지길,7
르서울호텔,7
트레블로지 명동 시티홀 호텔,7
광화문광장,7
창덕궁,7
종묘,7
플라자스파클럽,7
덕수궁정관헌,7
호텔토마스명동,7
대우모텔,7
알프스모텔,7
명동거리,7
문화역서울284,7
광화문광장해치마당,7
북촌 한옥마을,7
세종대왕동상,7
남산골한옥마을,7
고종즉위40년칭경기념비,7
조선호텔 비지니스센터,7
2023 여성리더스포럼,7
창경궁,7
인사동문화의거리,7
숭례문,7
게스트하우스 버스,7
정동 야행,7
더케이제주호텔,7
로컬스티치 시청 Local Stitch Cityhall,7
경희궁,7
샹그릴라인터내셔날호텔마케팅코리아,7
광화모텔,7
동아일보사옥,7
스몰하우스 빅도어,7
운현궁,7
24게스트하우스 서울시청점,7
가을단풍길(덕수궁길),7
호텔박사,7
남산케이블카,7
글로카로카 광화문,7
투어데스크,7
덕수궁매표소,7
부영소공동호텔(2023년예정),7
열린송현 녹지광장,7
서울광장안내매표소,7
탑골공원,7
나인트리 프리미어 호텔 인사동,7
광화문,7
그린콘크리트,7
덕수궁석어당,7
신라스테이 광화문,7
경북착한사과페스티벌,7
포포인츠 바이 쉐라톤 조선 서울 명동,7
한일여관,7
호텔롯데서울 웨딩센터,7
광화여관,7
신라스테이 서대문,7
N서울타워,7
조계사 템플스테이,7
코트야드 메리어트 서울 남대문,7
다동무교동음식문화의거리,7
서울관광호텔,7
커무브,7
에스호텔,7
MOON hotel&guesthouse,7
호스텔 코코,7
서촌마을,7
창덕궁 돈화문,7
덕수궁중화문,7
청계천민속놀이,7
광화문관광안내소,7
박물관은살아있다 인사동점,7
에이퍼스트호텔,7
사직단,7
릴리엔젤네일,4
디그헤어 광화문점,4
올리브네일&속눈썹,4
삼층네일,4
코리아나호텔바버샵,4
더풋샵 종로구청점,4
제이뷰티 눈썹&네일,4
네일블라썸,4
더벨스파 더플라자점,4
설화수스파 롯데호텔서울점,4
당당왁싱 광화문점,4
약손명가 시청역점,4
안젤라네일샵,4
클래씨바버샵 르메이에르점,4
메드아로마,4
레푸스 종로점,4
라이프라인스,4
루루앤아이래쉬 종로점,4
풋스올 종로광화문점,4
유니눈썹,4
서윤피부맑음 명동점,4
정샘물인스피레이션 에비뉴엘점,4
WT메소드 시청점,4
스포테라피 광화문점,4
약손명가 광화문점,4
브이스파 롯데에비뉴엘본점,4
북창안마지압원,4
브이스파 웨스틴조선호텔 서울점,4
더하노이풋앤바디 시청프레지던트호텔점,4
유이즈,4
블루클럽 중구다동점,4
광화문뷰티,4
토리왁싱 종로점,4
힐링타임,4
아울스파,4
아너디헤어,4
몰디브태닝 을지로종각점,4
K마사지,4
JS에스테틱,4
마고랩,4
HNspa 코리아나호텔점,4
리엔케이,4
오드리네일,4
JBEAUTY눈썹,4
결이고은 시청점,4
네일라이트,4
소니왁싱,4
보나헤어,4
메이크유이 명동점,4
스킨스파 명동본점,4
올리즈에스테틱,4
명동 드림에스테,4
쉼테라피,4
더웨이브 롯데백화점본점,4
유성희헤어,4
스킨러브,4
코코네일,4
라라에르모슈라,4
미담화테라피,4
강루시피부관리,4
넘버텐,4
말짜네일,4
한진이용원,4
바디케어 운동센터,4
비비스헤어,4
재이살롱속눈썹네일,4
발몽브이스파,4
에뜨네르,4
플라자바버샵,4
비타브리드 광화문점,4
미플러스헤어샵,4
SEOUL TATOO,4
조치원이발소,4
TheWave 롯데백화점본점 F7,4
더스타일헤어,4
JIGA HAIR,4
민지눈썹,4
에스아로마,4
블루컷,4
드로잉쇼,4
M네일,4
교보구내이용원,4
네일스퀘어,4
로얄아로마,4
더웨이브 B롯데백화점본점,4
네일스토리 소공지하쇼핑센터점,4
관훈이용원,4
골드클래스,4
보비쥬에스테틱,4
김영현미용실,4
TO YOU SKIN,4
유어핏,4
TheWave 롯데백화점본점,4
리가 에스테틱,4
박언니미용실,4
홍은예에스테틱샵,4
최재연헤어닥터,4
르뱅헤어,4
오스테리아 파로,0
성수다락,0
타코튜즈데이 성수 본점,0
요쇼쿠 성수,0
술있는식탁 성수본점,0
bd버거 성수본점,0
돈구어,0
살라댕템플,0
제스티살룬 성수,0
소문난성수감자탕,0
넛츠비어,0
죠죠,0
김경자원조 손칼국수 보쌈,0
난포,0
비파X호커센터,0
진작다이닝,0
왕십리연탄집,0
브리비트,0
라온석갈비,0
미도인 왕십리역사,0
압구정수산시장,0
오마카세 오사이초밥 성수직영점,0
금돈옥 행당점,0
제일곱창 본점,0
소바식당,0
주르데크레프,0
최영희언양불고기,0
37.5 시그니처 성수,0
봄의정원 성수점,0
오뜨로 성수,0
누메로도스,0
봄의정원 왕십리점,0
웨스턴챕터,0
온량,0
또보겠지떡볶이집 성수말랑쉼표점,0
꾸아 성수점,0
성수족발,0
마리오네,0
아파스타먼 성수,0
쿠나,0
꿉당 성수점,0
쵸리상경,0
엘릿,0
앤드밀 성수점,0
아쿠아산타 서울숲카페,0
서경도락 성수점,0
피넛버터바나나,0
남영동양문 성수점,0
호보식당 성수직영점,0
청기와타운 왕십리역사점,0
춘향미엔 왕십리점,0
타이거풀,0
가조쿠,0
할머니의 레시피,0
르프리크,0
201호,0
호호식당 성수,0
그리노 성수,0
브레디포스트 성수,0
미테이블 성수점,0
핵밥 성수본점,0
성수명당,0
땅코참숯구이 본점,0
문화식당,0
스시도쿠 더성수,0
온류,0
조조칼국수 성수점,0
뽈로파스타,0
평이담백뼈칼국수 성수점,0
사위식당 성수점,0
콩카세,0
우리마키 성수점,0
파르코,0
양평회관 본점,0
카린지린가네스낵바,0
소바마에,0
훈연,0
훼미리손칼국수보쌈,0
메종 파이프그라운드,0
대성갈비,0
희릿,0
대도식당 왕십리본점,0
어메이징브루잉컴퍼니,0
이오로비스트로 성수점,0
돌고래스낵바,0
스시도쿠 왕십리본점,0
투파인드피터 서울성수점,0
쎄콩데live,0
로컬릿,0
대낚식당,0
하마루,0
우동가조쿠 성수점,0
원앤하프,0
팩피,0
고로고로 성수,0
문츠 바베큐,0
목금,0
제제,0
리틀포레스트,0
미쁘동 서울숲,0
빠오즈푸 서울숲직영점,0
브와르,0
송계옥 성수점,0
경주이씨,0
엘더버거 성수,0
중앙감속기,0
인생한우,0
갓잇 성수 홀리워터점,0
성수동 간판없는집,0
핫쵸 성수점,0
하노이102,0
서울스트롤,0
벱,0
우동가조쿠,0
도치피자 성수,0
소인수서울 본점,0
칙피스 성수점,0
성수일미락,0
매란방 왕십리본점,0
오프트,0
고우성수,0
텐동식당,0
시옹마오,0
다이닝 목로 성수점,0
무색,0
소랑호젠,0
맛나곱창,0
육명갈비,0
미아논나,0
금손,0
광명대창집 왕십리점,0
서울숲누룽지통닭구이,0
맷돌,0
솔솥 성수점,0
부우이,0
윕 성수,0
차만다 서울숲점,0
금금 성수점,0
대림국수 성수점,0
후라토식당 성수점,0
테이스트앤드테이스트 성수플래그십,0
굿갓레스토랑 성수역점,0
미도인 성수,0
노모어피자 서울숲점,0
고공 성수본점,0
갱생,0
대취,0
몽련,0
밤토리,0
브라우터,0
마하차이 성수본점,0
미도림,0
전봇대집,0
노가리마켓 서울숲,0
일품백송칼국수,0
탐광,0
퍼부어 성수점,0
멘야코노하 성수,0
스케줄 성수,0
제이드앤워터,0
카타오모이,0
롸카두들 내쉬빌 핫치킨 성수점,0
왕십리 수상한막창,0
오스테리아 쟌니,0
다포케 성수점,0
서울앵무새,0
멘푸라,0
냐항,0
노비아 에 노비오,0
레인리포트 크루아상,0
오션테이블 성수,0
유어네이키드치즈,0
누메로뜨레쓰,0
꽌코이,0
정돈 성수점,0
바오 서울,0
성수온실,0
메이플탑,0
강남면옥 성수점,0
도도한면 성수본점,0
르베지왕 성수공간,0
세디치,0
무근본,0
고원집,0
현심야식당 성수점,0
나누리잡화점,0
오와리 본점,0
밸런스포케 서울숲점,0
띠또분식,0
독보,0
악어떡볶이,0
피키니키 라자냐,0
메종 성수돈,0
화로구이 마장점,0
고기를품다 본점,0
성수동 셋째집,0
성수로운,0
중앙가속기,0
미육탄,0
초이다이닝 성수점,0
무식당 성수본점,0
애리꼼닭발,0
카모메 한양대점,0
페이지스,0
오부이용,0
고깃집왕고을,0
헤비스테이크 성수점,0
까망,0
패티앤베지스 성수,0
샐피,0
dooop,0
부산밀면,0
디핀옥수,0
연평도꽃게아구낙지,0
계월,0
먹어봐 뒷고기,0
스시도쿠카미동 왕십리본점,0
성수속향연,0
메시,0
본앤브레드 신관,0
골든센트리,0
서울숲포도피자 성수,0
쓰리오브어스,0
용용선생,0
지우관,0
조개도,0
오레노카츠 성수본점,0
삼박자,0
은성보쌈,0
쎈느Scene,0
성수라,0
버섯집,0
토라식당,0
서울브루어리 성수,0
봉밀가 서울숲점,0
메이탄 성수서울숲점,0
세밀,0
포지티브 제로 라운지,0
잇샐러드 성수점,0
심마니약초백숙,0
위드번,0
서우 룸다이닝 갤러리아포레점,0
멜라 성수점,0
버거보이 성수낙낙점,0
포맨스,0
행운돈가스,0
성수부두,0
도우소사이어티,0
HDD피자,0
원기옥,0
라무라 성수,0
유가츠,0
유래회관,0
이로우,0
윤경양식당,0
정선부뚜막,0
강별 성수점,0
사운드 플래닛,0
곱순이네,0
이가네양꼬치 성수직영점,0
그린치앙마이,0
서울로인 서울숲점,0
PEEPS,0
연남토마 성수점,0
탄스이카부츠,0
도르리반미,0
원 디그리 노스 성수점,0
멜드,0
토리키치 성수점,0
노이,0
만게츠 답십리점,0
라프레플루트,0
스아게 성수점,0
피자시즌,0
아키야마,0
부원냉면,0
명국수,0
하동진,0
외가집,0
올드핸즈,0
홍익주점 상왕십리역점,0
타논55,0
통돼지 두루치기 김치찌개 전문점,0
만두전빵,0
싹쓰리곱창,0
포도젝트,0
퀴버 서울숲,0
왕십리정곱창,0
밀본 본점,0
포피나,0
중화카츠 서울숲,0
신사소곱창 성수점,0
동구식당,0
수컷웅 하이볼,0
헬렐레,0
리타르단도,0
스시오오모토,0
성수일구,0
오와리 뚝섬점,0
잠수교집 성수 직영점,0
라무라 성수,0
유가츠,0
유래회관,0
이로우,0
윤경양식당,0
정선부뚜막,0
강별 성수점,0
사운드 플래닛,0
곱순이네,0
이가네양꼬치 성수직영점,0
그린치앙마이,0
서울로인 서울숲점,0
PEEPS,0
연남토마 성수점,0
탄스이카부츠,0
도르리반미,0
원 디그리 노스 성수점,0
멜드,0
토리키치 성수점,0
노이,0
만게츠 답십리점,0
라프레플루트,0
스아게 성수점,0
피자시즌,0
아키야마,0
부원냉면,0
명국수,0
하동진,0
외가집,0
올드핸즈,0
홍익주점 상왕십리역점,0
타논55,0
통돼지 두루치기 김치찌개 전문점,0
만두전빵,0
싹쓰리곱창,0
포도젝트,0
퀴버 서울숲,0
왕십리정곱창,0
밀본 본점,0
포피나,0
중화카츠 서울숲,0
신사소곱창 성수점,0
동구식당,0
수컷웅 하이볼,0
헬렐레,0
리타르단도,0
스시오오모토,0
성수일구,0
오와리 뚝섬점,0
잠수교집 성수 직영점,0
두 투리에,1
호말커피,1
자연도소금빵in 성수,1
피넛버터바나나,1
서울앵무새,1
뵈르뵈르,1
레인리포트 크루아상,1
브레디포스트 성수,1
치카성수,1
웨스턴챕터,1
소프트바,1
타임애프터타임,1
기미사 성수,1
케이크 달달,1
LOWIDE 서울숲,1
하이라인,1
구욱희씨 서울숲 본점,1
크림라벨 서울숲 본점,1
밀도 성수점,1
브라우터,1
텅 성수 스페이스,1
누데이크 성수,1
성수 베이킹 스튜디오,1
파머스카페,1
쎈느Scene,1
코끼리베이글 성수,1
체다앤올리,1
오우드 성수1호점,1
마를리,1
스페셜 땡스 투,1
에이투비 Cafe&Bar,1
프롤라,1
카멜커피 성수점,1
씨장,1
로우키,1
위스위츠 서울숲,1
웜브라운,1
투데이즈 위켄드,1
마일스톤 커피 성수점,1
퍼먼트,1
오우도,1
꼬모윤 서울숲점,1
예빈당,1
와이덴,1
뜨아아아커피집,1
맥파이앤타이거 성수티룸,1
5to7,1
아쿠아산타 성수카페,1
디플랫 성수,1
스트로베리32 성수점,1
오로라베이커리카페 성수점,1
하프커피 성수,1
아가젤라또 성수,1
루프 베이커리 카페,1
글로우,1
어라운드데이,1
방추리,1
villa.1990,1
어질 인,1
에르제 성수,1
러프러프,1
온더,1
테니,1
해피캠퍼,1
성수동대림창고갤러리,1
인더매스 마장,1
까치화방 성수낙낙점,1
카페 차 성수점,1
테디스오븐,1
와이704,1
바이닐 성수,1
도렐 성수점,1
카페온화 성수점,1
기댈빙,1
뺑드에코,1
페로몬,1
단일서울,1
BNHR,1
파티세리후르츠,1
레이더,1
업사이드커피,1
브루잉 세레모니,1
바버앤젤라또,1
플디 성수점,1
발렁스,1
비아트 성수,1
띵똥와플 본점,1
카페스니즈,1
코타티 성수점,1
오우드 성수2호점,1
봉순이네다락방 / 봉다방,1
스타벅스 성수역점,1
높은산,1
FINZ,1
청키드 성수점,1
동빙고 성수점,1
camouflage coffee,1
차일디쉬,1
뵈르에코,1
맥코이 성수,1
오푸,1
천상가옥,1
밋보어 카페&이터리 by 에디션덴마크,1
코트사이드,1
카페 포제,1
모리노키세츠,1
강별 성수,1
슈퍼말차 성수,1
클레멘타인,1
팀메리,1
포레스트,1
라에비뉴,1
더반 베를린 성수점,1
로우커피스탠드,1
티룸,1
구펠,1
